Name,CL Max,AoA @ CL Max [deg.],AoA @ L0 [deg.],dCl/dAoA Slope [1/deg.],CD0 Min,CL Max / CD0 Min,CM0,CD Min,(L/D) Max,CL @ (L/D) Max
NACA 0006,0.88,13,-0.1,0.102,0.0065,135,-0.002,0.0065,23.8,0.31
NACA 0009,1.27,14,0,0.101,0.0074,172,-0.003,0.0074,22.9,0.36
NACA 0012,1.53,17,0,0.101,0.0083,184,-0.002,0.0083,22.2,0.37
NACA 0015,1.53,17,0,0.1,0.0093,164,0,0.0093,21.2,0.4
NACA 0018,1.49,17,0,0.098,0.0108,138,-0.002,0.0108,19.8,0.4
NACA 0021,1.38,17,-0.1,0.094,0.012,115,-0.001,0.012,18.5,0.44
NACA 0025,1.2,16,0,0.089,0.0143,84,-0.003,0.0143,16.5,0.47
NACA 2212,1.6,16,-1.8,0.103,0.0087,184,-0.029,0.0088,22.4,0.4
NACA 2306,1.04,11,-1.8,0.104,0.0073,142,-0.036,0.0075,23.9,0.33
NACA 2309,1.51,15,-2,0.103,0.0083,182,-0.036,0.0085,22.9,0.39
NACA 2312,1.61,16,-1.9,0.101,0.0089,181,-0.038,0.009,22.1,0.39
NACA 2315,1.54,15,-1.7,0.102,0.01,154,-0.034,0.01,20.5,0.41
NACA 2406,1.01,13,-1.7,0.103,0.007,144,-0.039,0.0074,24.9,0.32
NACA 2409,1.51,14,-1.7,0.103,0.008,189,-0.044,0.0082,23.1,0.36
NACA 2412,1.62,17,-1.8,0.101,0.0085,190,-0.044,0.0087,22.5,0.39
NACA 2415,1.55,16,-1.7,0.101,0.0099,156,-0.04,0.01,20.8,0.4
NACA 2418,1.43,15,-1.9,0.098,0.0112,128,-0.037,0.0113,19.4,0.42
NACA 2421,1.35,16,-1.7,0.097,0.0127,106,-0.036,0.0128,17.9,0.43
NACA 2506,1.03,15,-2,0.103,0.0073,141,-0.048,0.0076,24.2,0.36
NACA 2509,1.38,13,-2,0.102,0.0081,170,-0.052,0.0083,22.9,0.37
NACA 2512,1.62,17,-2.1,0.102,0.0088,184,-0.054,0.0091,22.3,0.39
NACA 2515,1.53,16,-2,0.099,0.0103,148,-0.049,0.0104,20.4,0.41
NACA 2518,1.48,16,-2,0.096,0.0112,132,-0.047,0.0113,19.1,0.42
NACA 2521,1.38,16,-1.8,0.095,0.0126,109,-0.043,0.0126,17.7,0.44
NACA 2612,1.66,17,-2.3,0.1,0.0089,187,-0.06,0.0091,22.1,0.38
NACA 2712,1.68,17,-2.6,0.1,0.009,187,-0.075,0.0093,22,0.38
NACA 4212,1.71,16,-3.4,0.102,0.0092,186,-0.059,0.01,22.1,0.4
NACA 4306,1.2,10,-3.8,0.103,0.008,150,-0.075,0.0094,23.7,0.38
NACA 4309,1.6,15,-3.6,0.103,0.0089,180,-0.073,0.0094,22.3,0.39
NACA 4312,1.63,16,-3.9,0.1,0.0095,172,-0.075,0.01,21.7,0.4
NACA 4315,1.56,15,-3.6,0.103,0.0107,146,-0.068,0.0108,20.2,0.42
NACA 4318,1.46,14,-3.5,0.099,0.0119,123,-0.065,0.0121,19,0.43
NACA 4321,1.29,15,-3.6,0.095,0.0134,96,-0.057,0.0134,17.4,0.45
NACA 4406,1.23,10,-3.9,0.104,0.0076,162,-0.087,0.0089,24.2,0.38
NACA 4409,1.6,15,-3.6,0.103,0.0086,186,-0.086,0.0092,22.9,0.4
NACA 4412,1.65,16,-3.9,0.1,0.0092,179,-0.089,0.0096,22.1,0.4
NACA 4415,1.57,15,-3.8,0.101,0.0105,150,-0.083,0.0108,20.5,0.42
NACA 4418,1.47,17,-3.7,0.096,0.0116,127,-0.078,0.012,19.2,0.43
NACA 4421,1.37,19,-3.4,0.093,0.0132,104,-0.071,0.0133,17.7,0.44
NACA 4506,1.15,13,-4.3,0.104,0.0087,132,-0.109,0.0098,22.7,0.4
NACA 4509,1.56,13,-4.1,0.103,0.0093,168,-0.106,0.0099,22,0.4
NACA 4512,1.69,17,-4.2,0.097,0.0095,178,-0.105,0.0099,21.7,0.4
NACA 4515,1.62,17,-4.1,0.101,0.0113,143,-0.097,0.0116,19.6,0.43
NACA 4518,1.54,17,-3.9,0.096,0.0125,123,-0.094,0.0126,18.4,0.43
NACA 4521,1.46,19,-3.4,0.095,0.0138,106,-0.082,0.0138,17.2,0.45
NACA 4612,1.76,17,-4.6,0.098,0.0099,178,-0.124,0.0105,21.1,0.41
NACA 4712,1.82,18,-5,0.097,0.0104,175,-0.143,0.011,20.7,0.41
NACA 6212,1.75,14,-5.2,0.1,0.0101,173,-0.087,0.0117,20.9,0.44
NACA 6306,1.54,12,5.2,0.105,0.0092,167,-0.109,0.0177,21.6,0.42
NACA 6309,1.67,13,-5.4,0.104,0.0101,165,-0.11,0.0116,21.1,0.42
NACA 6312,1.66,14,-5.5,0.101,0.0102,163,-0.11,0.0115,20.9,0.44
NACA 6315,1.55,13,-5.4,0.101,0.012,129,-0.105,0.0125,19.3,0.45
NACA 6318,1.43,13,-5.2,0.098,0.013,110,-0.097,0.0133,18.4,0.45
NACA 6321,1.37,17,-5.2,0.096,0.0144,95,-0.09,0.0145,17,0.47
NACA 6406,1.43,9,-5.6,0.104,0.0086,166,-0.129,0.0139,22.6,0.42
NACA 6409,1.68,15,-5.9,0.101,0.0094,179,-0.133,0.0113,21.6,0.42
NACA 6412,1.67,15,-5.7,0.101,0.0104,160,-0.132,0.0117,20.8,0.42
NACA 6415,1.59,17,-5.7,0.099,0.012,133,-0.125,0.0127,19.2,0.45
NACA 6418,1.51,18,-5.7,0.099,0.0132,114,-0.118,0.0137,18.1,0.45
NACA 6421,1.41,18,-5.2,0.096,0.0146,97,-0.11,0.0148,16.9,0.46
NACA 6506,1.29,10,-6.3,0.101,0.0093,139,-0.159,0.0122,21.6,0.42
NACA 6509,1.71,15,-6.3,0.103,0.01,171,-0.158,0.0119,21,0.43
NACA 6512,1.75,17,-6.2,0.101,0.0106,165,-0.159,0.0119,20.6,0.42
NACA 6515,1.67,18,-6,0.099,0.0127,132,-0.15,0.0134,18.7,0.44
NACA 6518,1.61,18,-5.7,0.095,0.0141,114,-0.139,0.0142,17.4,0.46
NACA 6521,1.49,19,-5.3,0.094,0.0154,97,-0.129,0.0155,16,0.47
NACA 6612,1.83,17,-6.6,0.099,0.0114,161,-0.186,0.0124,19.8,0.43
NACA 6712,1.95,18,-7,0.097,0.0126,155,-0.206,0.0135,18.6,0.45